teamName,enrollment,class,y,headSchool,co-opingSchools,district,latitude,longitude,rank0g,rank1g,rank2g,rank3g,rank4g,rank5g,rank6g,rank7g,rank8g,rank9g,sqmg,rank10g,rankLast3g,rankAvgg,rank0b,rank1b,rank2b,rank3b,rank4b,rank5b,rank6b,rank7b,rank8b,rank9b,sqmb,rank10b,rankLast3b,rankAvgb
"Interstate 35, Truro",177,1A,2019,"Interstate 35, Truro ",,Mount Ayr,41.2097152,-93.8466116,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Lenox,98,1A,2019,Lenox ,,Mount Ayr,40.8816547,-94.5619095,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Martensdale-St. Marys,129,1A,2019,Martensdale-St. Marys ,,Mount Ayr,41.3730474,-93.7357761,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Mount Ayr,147,1A,2019,Mount Ayr ,,Mount Ayr,40.7147147,-94.2352320,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Orient-Macksburg,36,1A,2019,Orient-Macksburg ,,Mount Ayr,41.2030440,-94.4146845,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Riverside, Oakland",118,1A,2019,"Riverside, Oakland ",,Mount Ayr,41.303,-95.301,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Sidney,131,1A,2019,Sidney ,,Mount Ayr,40.7483337,-95.6474959,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Southwest Valley,138,1A,2019,Southwest Valley ,,Mount Ayr,40.9869306,-94.7335843,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Stanton,51,1A,2019,Stanton ,,Mount Ayr,40.9777689,-95.1016534,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Wayne of Corydon,138,1A,2019,"Wayne, Corydon ",,Mount Ayr,40.7569499,-93.3188229,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Alta-Aurelia,162,1A,2019,Alta-Aurelia ,,Ridge View,42.6749812,-95.3041656,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Boyer Valley, Dunlap",100,1A,2019,"Boyer Valley, Dunlap ",,Ridge View,41.8543292,-95.6019662,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
East Sac County,180,1A,2019,East Sac County ,,Ridge View,42.3116499,-95.053324,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Graettinger-Terril/Ruthven-Ayrshire,108,1A,2019,Ruthven-Ayrshire ,Graettinger-Terril,Ridge View,43.236,-94.755,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Harris-Lake Park,80,1A,2019,Harris-Lake Park,,Ridge View,43.4532977,-95.3225004,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Hartley-Melvin-Sanborn,125,1A,2019,Hartley-Melvin-Sanborn ,,Ridge View,43.1802719,-95.4770511,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Hinton,161,1A,2019,Hinton ,,Ridge View,42.6266175,-96.2924857,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Lawton-Bronson,149,1A,2019,Lawton-Bronson ,,Ridge View,42.4786037,-96.1839121,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
MMCRU,122,1A,2019,MMCRU  ,,Ridge View,42.818,-95.802,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
North Union,164,1A,2019,North Union ,,Ridge View,43.3960697,-94.4783082,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"St. Mary's, Remsen",47,1A,2019,"St. Mary's, Remsen ",,Ridge View,42.812,-95.971,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
West Bend-Mallard,80,1A,2019,West Bend-Mallard ,,Ridge View,42.9600447,-94.4450576,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"West Harrison, Mondamin",81,1A,2019,"West Harrison, Mondamin ",,Ridge View,41.7103572,-96.0205391,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"West Monona, Onawa",153,1A,2019,"West Monona, Onawa ",,Ridge View,42.0266548,-96.0972376,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"West Sioux, Hawarden",182,1A,2019,"West Sioux, Hawarden ",,Ridge View,42.9963772,-96.4891976,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Westwood, Sloan",133,1A,2019,"Westwood, Sloan ",,Ridge View,42.2337584,-96.2244905,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Whiting,43,1A,2019,Whiting ,,Ridge View,42.1269338,-96.1508521,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Albia,285,2A,,Albia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beckman Catholic, Dyersville",203,2A,,"Beckman Catholic, Dyersville ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellevue,183,2A,,Bellevue ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camanche,225,2A,,Camanche ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cardinal, Eldon",184,2A,,"Cardinal, Eldon ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central Decatur, Leon",220,2A,,"Central Decatur, Leon ",Lamoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central Lee, Donnellson",232,2A,,"Central Lee, Donnellson ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chariton,281,2A,,Chariton ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cherokee, Washington",231,2A,,"Cherokee, Washington ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarinda ,249,2A,,Clarinda ,"South Page, College Springs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarion-Goldfield-Dows,199,2A,,Clarion-Goldfield-Dows ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colfax-Mingo,184,2A,,Colfax-Mingo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbus Catholic, Waterloo",213,2A,,"Columbus Catholic, Waterloo ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crestwood, Cresco",279,2A,,"Crestwood, Cresco ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danville,282,2A,,Danville ,New London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davis County, Bloomfield",253,2A,,"Davis County, Bloomfield ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Des Moines Christian,229,2A,,Des Moines Christian ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dike-New Hartford,212,2A,,Dike-New Hartford ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Grove,199,2A,,Eagle Grove ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddyville-Blakesburg-Fremont,238,2A,,Eddyville-Blakesburg-Fremont ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmetsburg,206,2A,,Emmetsburg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estherville Lincoln Central,293,2A,,Estherville Lincoln Central ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest City,272,2A,,Forest City ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garner-Hayfield-Ventura,219,2A,,Garner-Hayfield-Ventura ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George-Little Rock,255,2A,,George-Little Rock ,"Central Lyon, Rock Rapids",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grundy Center,256,2A,,Grundy Center ,Gladbrook-Reinbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesup,211,2A,,Jesup ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisa-Muscatine,205,2A,,Louisa-Muscatine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mid-Prairie, Wellman",268,2A,,"Mid-Prairie, Wellman ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri Valley,186,2A,,Missouri Valley ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monticello,275,2A,,Monticello ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVAOCOU,184,2A,,MVAOCOU ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampton,231,2A,,New Hampton ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Fayette Valley,230,2A,,North Fayette Valley ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Northeast, Goose Lake",201,2A,,"Northeast, Goose Lake ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OABCIG,241,2A,,OABCIG  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oelwein,261,2A,,Oelwein ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Okoboji, Milford",218,2A,,"Okoboji, Milford ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osage,205,2A,,Osage ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panorama, Panora",207,2A,,"Panorama, Panora ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PCM, Monroe",239,2A,,"PCM, Monroe ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pella Christian,196,2A,,Pella Christian ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleasantville,184,2A,,Pleasantville ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocahontas Area,203,2A,,Pocahontas Area ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Oak,229,2A,,Red Oak ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roland-Story, Story City",245,2A,,"Roland-Story, Story City ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheldon,241,2A,,Sheldon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenandoah,237,2A,,Shenandoah ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sibley-Ocheyedan,183,2A,,Sibley-Ocheyedan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sioux Center,273,2A,,Sioux Center ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Central Calhoun,260,2A,,South Central Calhoun ,Glidden-Ralston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Hamilton, Jewell",187,2A,,"South Hamilton, Jewell ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Hardin,196,2A,,South Hardin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Southeast Valley, Gowrie",246,2A,,"Southeast Valley, Gowrie ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit Lake,258,2A,,Spirit Lake ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tipton,249,2A,,Tipton ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treynor,194,2A,,Treynor ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underwood,194,2A,,Underwood ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Union, La Porte City",279,2A,,"Union, La Porte City ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unity Christian, Orange City",213,2A,,"Unity Christian, Orange City ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waukon,276,2A,,Waukon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Central Valley, Stuart",183,2A,,"West Central Valley, Stuart ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Liberty,282,2A,,West Liberty ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Lyon, Inwood",209,2A,,"West Lyon, Inwood ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Marshall, State Center",233,2A,,"West Marshall, State Center ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Western Christian, Hull",197,2A,,"Western Christian, Hull ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsburg,259,2A,,Williamsburg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Woodbury Central, Moville",231,2A,,"Woodbury Central, Moville ",Kingsley-Pierson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADM, Adel",391,3A,,"ADM, Adel ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algona,319,3A,,Algona ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anamosa,311,3A,,Anamosa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assumption, Davenport",350,3A,,"Assumption, Davenport ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,300,3A,,Atlantic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballard,403,3A,,Ballard ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benton Community,361,3A,,Benton Community ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bishop Heelan Catholic, Sioux City",363,3A,,"Bishop Heelan Catholic, Sioux City ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bondurant-Farrar,436,3A,,Bondurant-Farrar ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boone,471,3A,,Boone ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlisle,464,3A,,Carlisle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center Point-Urbana,369,3A,,Center Point-Urbana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centerville,320,3A,,Centerville ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central DeWitt,387,3A,,Central DeWitt  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles City,394,3A,,Charles City ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clarke, Osceola",287,3A,,"Clarke, Osceola ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Creek-Amana,491,3A,,Clear Creek-Amana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Lake,295,3A,,Clear Lake ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creston,352,3A,,Creston ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Center-Grimes,641,3A,,Dallas Center-Grimes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decorah,454,3A,,Decorah ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denison-Schleswig,614,3A,,Denison-Schleswig ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield,384,3A,,Fairfield ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Madison,400,3A,,Fort Madison ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert,366,3A,,Gilbert ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenwood,463,3A,,Glenwood ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greene County,341,3A,,Greene County ,Paton-Churdan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grinnell,377,3A,,Grinnell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton-Dumont-CAL,315,3A,,Hampton-Dumont-CAL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harlan,395,3A,,Harlan Community ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,362,3A,,Humboldt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independence,358,3A,,Independence ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa Falls-Alden,418,3A,,Iowa Falls-Alden ,"AGWSR, Ackley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keokuk,384,3A,,Keokuk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knoxville,376,3A,,Knoxville ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kuemper Catholic, Carroll",605,3A,,"Kuemper Catholic, Carroll ",Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeMars,504,3A,,LeMars ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maquoketa,373,3A,,Maquoketa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion,519,3A,,Marion ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOC-Floyd Valley,315,3A,,MOC-Floyd Valley ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Pleasant,427,3A,,Mount Pleasant ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Vernon,437,3A,,Mount Vernon ,Lisbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,330,3A,,Nevada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Polk, Alleman",357,3A,,"North Polk, Alleman ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwalk,641,3A,,Norwalk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notre Dame, Burlington",320,3A,,"Notre Dame, Burlington ",West Burlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oskaloosa,476,3A,,Oskaloosa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pella,520,3A,,Pella ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perry,428,3A,,Perry ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saydel,315,3A,,Saydel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergeant Bluff-Luton,377,3A,,Sergeant Bluff-Luton ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solon,350,3A,,Solon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Tama County, Tama",359,3A,,"South Tama County, Tama ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer,477,3A,,Spencer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm Lake,601,3A,,Storm Lake ,"St. Mary's, Storm Lake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinton-Shellsburg,336,3A,,Vinton-Shellsburg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wahlert, Dubuque",368,3A,,"Wahlert, Dubuque ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,398,3A,,Washington ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waverly-Shell Rock,521,3A,,Waverly-Shell Rock ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Webster City,414,3A,,Webster City ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Delaware, Manchester",367,3A,,"West Delaware, Manchester ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winterset,397,3A,,Winterset ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xavier, Cedar Rapids",499,3A,,"Xavier, Cedar Rapids ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ames,1026,4A,,Ames ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankeny,1260,4A,,Ankeny ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankeny Centennial,1269,4A,,Ankeny Centennial ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bettendorf,1197,4A,,Bettendorf ,"Morning Star Academy, Bettendorf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington,800,4A,,Burlington ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Falls,1200,4A,,Cedar Falls ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Rapids Jefferson,1191,4A,,"Cedar Rapids, Jefferson ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cedar Rapids, Kennedy",1395,4A,,"Cedar Rapids, Kennedy ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cedar Rapids, Washington",989,4A,,"Cedar Rapids, Washington ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton,730,4A,,Clinton ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Council Bluffs, Abraham Lincoln",980,4A,,"Council Bluffs, Abraham Lincoln ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Council Bluffs, Thomas Jefferson",951,4A,,"Council Bluffs, Thomas Jefferson ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davenport, Central",1133,4A,,"Davenport, Central ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davenport, North",913,4A,,"Davenport, North ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davenport, West",1164,4A,,"Davenport, West ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Des Moines, Abraham Lincoln",1793,4A,,"Des Moines, Abraham Lincoln ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Des Moines, East",1636,4A,,"Des Moines, East ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Des Moines, Hoover",804,4A,,"Des Moines, Hoover ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Des Moines, North",1095,4A,,"Des Moines, North ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Des Moines, Roosevelt",1533,4A,,"Des Moines, Roosevelt ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dowling Catholic, West Des Moines",1076,4A,,"Dowling Catholic, West Des Moines ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dubuque, Hempstead",1293,4A,,"Dubuque, Hempstead ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dubuque, Senior",1138,4A,,"Dubuque, Senior ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Epworth, Western Dubuque",668,4A,,"Epworth, Western Dubuque ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Dodge,851,4A,,Fort Dodge ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indianola,849,4A,,Indianola ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iowa City, City High",1340,4A,,"Iowa City, City High ",West Branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iowa City, Liberty",846,4A,,"Iowa City, Liberty ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iowa City, West",1088,4A,,"Iowa City, West ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnston,1682,4A,,Johnston ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Central,697,4A,,Lewis Central ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linn-Mar, Marion",1667,4A,,"Linn-Mar, Marion ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshalltown,1093,4A,,Marshalltown ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason City,810,4A,,Mason City ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muscatine,1130,4A,,Muscatine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newton,651,4A,,Newton ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Scott, Eldridge",705,4A,,"North Scott, Eldridge ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ottumwa,933,4A,,Ottumwa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleasant Valley,1073,4A,,Pleasant Valley ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prairie, Cedar Rapids",1283,4A,,"Prairie, Cedar Rapids ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sioux City, East",1092,4A,,"Sioux City, East ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sioux City, North",1159,4A,,"Sioux City, North ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sioux City, West",936,4A,,"Sioux City, West ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Polk,1541,4A,,Southeast Polk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urbandale,983,4A,,Urbandale ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valley, West Des Moines",2201,4A,,"Valley, West Des Moines ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waterloo, West",2145,4A,,"Waterloo, West ","Waterloo, East",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waukee,2147,4A,,Waukee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
