Site, latitude, Longitude
ACGC, 41.67055, -94.494
Audubon, 41.7180421, -94.9324868
Cascade (Western Dubuque), 42.3008, -91.018142
Central Springs (Cedar Falls), 43.2907924, -93.2032593
Mount Ayr, 40.705, -94.226
Clayton Ridge (Guttenberg), 42.7899897, -91.1029068
Pekin, 41.1327937, -92.0826771
Ridge View, 42.48, -95.537
