location,class,longitude,latitude
Cedar Falls,4A,-92.487,42.530
Marshalltown,4A,-92.905,42.001
Mount Ayr,4A,-94.226,40.705
Iowa City (Regina),4A,-91.504,41.668
Ridge View,4A,-95.537,42.480
